FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
don juan,8,NP,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
donald,6,NP,7,0.23,12.47,50.96,2,0.27,1.76,42.46,3,0.19,0.47,36.70,12,0.40,2.54,44.05
donateurs,9,NC,,,,,,,,,2,0.21,0.35,35.38,2,0.17,0.21,33.16
donc,4,CON,34,0.75,152.06,61.82,135,0.88,342.69,65.35,686,0.96,474.41,66.76,855,0.90,403.88,66.06
dondaine,8,NP,2,0.00,1.01,40.04,1,0.00,0.17,32.34,,,,,3,0.16,0.26,34.19
dondon,6,NP,2,0.00,1.01,40.04,1,0.00,0.17,32.34,,,,,3,0.16,0.26,34.19
dong,4,INT,,,,,2,0.27,1.95,42.89,4,0.42,1.26,41.01,6,0.45,1.45,41.62
dong,4,NP,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
donjon,6,NC,4,0.22,7.02,48.46,5,0.41,6.35,48.03,9,0.52,3.50,45.44,18,0.58,5.56,47.45
donjons,7,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
donna,5,VER,3,0.43,8.35,49.22,22,0.72,46.96,56.72,108,0.90,70.14,58.46,133,0.83,58.09,57.64
donnai,6,VER,,,,,,,,,4,0.42,1.29,41.11,4,0.35,0.78,38.93
donnaient,9,VER,1,0.00,0.62,37.95,2,0.27,1.97,42.95,21,0.81,12.45,50.95,24,0.72,9.20,49.64
donnais,7,VER,,,,,,,,,5,0.48,1.83,42.63,5,0.40,1.11,40.45
donnait,7,VER,2,0.27,3.95,45.97,6,0.70,12.38,50.93,79,0.83,47.79,56.79,87,0.76,34.75,55.41
donnant,7,VER,2,0.27,3.85,45.86,5,0.52,8.08,49.07,56,0.77,31.55,54.99,63,0.71,23.67,53.74
donnartin,9,NP,,,,,,,,,6,0.00,0.27,34.38,6,0.00,0.14,31.59
donnât,6,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
donne,5,VER,100,0.88,516.09,67.13,175,0.95,474.41,66.76,587,0.94,397.20,65.99,862,0.93,420.88,66.24
donné,5,VER,34,0.81,162.89,62.12,48,0.90,124.62,60.96,287,0.94,195.29,62.91,369,0.91,175.42,62.44
donné,5,ADJ,3,0.25,5.58,47.47,3,0.43,4.11,46.13,36,0.75,19.77,52.96,42,0.70,15.50,51.90
donnée,6,VER,9,0.65,35.86,55.55,5,0.63,9.36,49.71,44,0.82,26.27,54.19,58,0.80,24.39,53.87
donnée,6,ADJ,1,0.00,0.62,37.95,2,0.00,0.47,36.70,10,0.59,4.38,46.41,13,0.55,3.83,45.84
donnée,6,NC,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
données,7,ADJ,,,,,3,0.25,2.59,44.14,24,0.71,12.50,50.97,19,0.59,6.00,47.78
données,7,VER,1,0.00,0.61,37.86,1,0.00,0.09,29.77,16,0.65,7.67,48.85,26,0.63,8.70,49.40
données,7,NC,,,,,,,,,4,0.31,1.00,40.02,4,0.26,0.61,37.82
donne-la-moi,12,NP,,,,,1,0.00,0.29,34.61,,,,,1,0.00,0.01,19.90
donne-les-moi,13,NP,,,,,,,,,2,0.00,0.05,27.36,2,0.00,0.03,24.58
donnent,7,VER,4,0.41,10.61,50.26,13,0.65,25.46,54.06,65,0.88,41.53,56.18,82,0.82,35.37,55.49
donner,6,VER,49,0.85,245.43,63.90,107,0.89,274.42,64.38,380,0.96,262.60,64.19,536,0.93,260.74,64.16
donner,6,NP,1,0.00,0.62,37.95,1,0.00,0.23,33.69,1,0.00,0.01,19.93,3,0.28,0.45,36.49
donnera,7,VER,2,0.27,4.03,46.06,7,0.68,14.16,51.51,32,0.78,18.25,52.61,41,0.75,16.33,52.13
donnerai,8,VER,7,0.37,17.21,52.36,12,0.73,25.60,54.08,26,0.76,14.36,51.57,45,0.77,18.20,52.60
donneraient,11,VER,,,,,,,,,2,0.21,0.34,35.28,2,0.17,0.20,33.06
donnerais,9,VER,,,,,,,,,11,0.64,5.25,47.20,11,0.54,3.19,45.04
donnerait,9,VER,,,,,,,,,9,0.61,4.10,46.13,9,0.51,2.50,43.97
donneras,8,VER,2,0.27,3.95,45.96,,,,,7,0.52,2.75,44.39,9,0.51,2.47,43.93
donnèrent,9,VER,1,0.00,0.50,37.03,4,0.41,5.23,47.19,15,0.62,6.85,48.36,20,0.61,6.51,48.13
donnerez,8,VER,,,,,,,,,3,0.33,0.76,38.81,3,0.28,0.46,36.62
donneriez,9,VER,,,,,,,,,3,0.33,0.77,38.89,3,0.28,0.47,36.70
donnerons,9,VER,,,,,2,0.27,1.98,42.98,6,0.47,2.10,43.22,8,0.48,2.05,43.12
donneront,9,VER,,,,,1,0.00,0.22,33.41,6,0.47,2.13,43.28,7,0.44,1.67,42.22
donnes,6,VER,3,0.25,5.43,47.35,5,0.63,9.39,49.72,5,0.48,1.80,42.55,13,0.62,4.24,46.27
donnés,6,ADJ,,,,,7,0.16,4.54,46.57,49,0.86,30.48,54.84,40,0.50,10.71,50.30
donnés,6,VER,,,,,1,0.00,0.23,33.69,33,0.53,13.02,51.15,50,0.73,19.21,52.84
donneurs,8,NC,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
donneuse,8,ADJ,,,,,1,0.00,0.25,33.94,,,,,1,0.00,0.01,19.22
donnez,6,VER,4,0.54,13.42,51.28,23,0.67,45.32,56.56,68,0.85,42.11,56.24,95,0.81,40.41,56.07
donnez-lui-en,13,NP,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
donniez,7,VER,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
donnions,8,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
donnons,7,VER,1,0.00,0.61,37.86,2,0.27,1.85,42.68,15,0.66,7.33,48.65,18,0.62,5.95,47.74
dons,4,NC,,,,,1,0.00,0.36,35.59,8,0.57,3.41,45.32,9,0.51,2.48,43.95
dont,4,PRO,14,0.78,65.04,58.13,56,0.91,146.54,61.66,645,0.94,439.09,66.43,715,0.86,322.68,65.09
dopage,6,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
doper,5,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
dora,4,NP,,,,,2,0.00,0.49,36.95,,,,,2,0.00,0.02,22.23
dorage,6,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
dordogne,8,NP,,,,,3,0.00,0.51,37.11,4,0.31,0.97,39.87,7,0.32,1.22,40.87
dore,4,VER,1,0.00,0.53,37.27,2,0.27,1.95,42.91,5,0.48,1.81,42.59,8,0.52,2.23,43.48
doré,4,ADJ,7,0.53,22.91,53.60,11,0.77,24.61,53.91,29,0.65,13.83,51.41,47,0.73,18.13,52.58
doré,4,VER,3,0.43,8.32,49.20,1,0.00,0.17,32.34,7,0.58,3.04,44.83,11,0.60,3.51,45.46
dorée,5,ADJ,3,0.43,8.39,49.24,6,0.61,10.91,50.38,15,0.48,5.38,47.31,24,0.61,7.73,48.88
dorées,6,ADJ,1,0.00,0.61,37.82,4,0.41,5.09,47.07,11,0.64,5.24,47.19,16,0.63,5.36,47.29
dorénavant,10,ADV,2,0.00,1.05,40.19,1,0.00,0.22,33.41,3,0.33,0.77,38.88,6,0.39,1.27,41.03
dorer,5,VER,,,,,1,0.00,0.34,35.35,3,0.33,0.75,38.73,4,0.35,0.75,38.77
dorés,5,ADJ,1,0.00,0.38,35.77,5,0.63,9.30,49.69,20,0.61,9.05,49.57,26,0.63,8.73,49.41
dorés,5,VER,,,,,2,0.27,1.98,42.98,7,0.38,2.06,43.13,9,0.42,2.05,43.13
doris,5,NP,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
dorlotait,9,VER,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
dorlote,7,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
dorloter,8,VER,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
dormaient,9,VER,4,0.22,6.61,48.20,4,0.41,5.29,47.23,14,0.66,6.82,48.34,22,0.65,7.61,48.81
dormais,7,VER,1,0.00,0.52,37.18,1,0.00,0.19,32.89,9,0.55,3.69,45.67,11,0.53,3.10,44.92
dormait,7,VER,6,0.52,19.45,52.89,18,0.69,37.02,55.68,75,0.80,43.83,56.42,99,0.78,40.81,56.11
dormant,7,ADJ,1,0.00,0.50,37.03,4,0.41,5.16,47.13,14,0.52,5.46,47.37,12,0.59,3.79,45.78
dormant,7,VER,4,0.22,6.67,48.24,2,0.27,1.91,42.82,7,0.58,3.03,44.81,20,0.55,5.88,47.70
dormante,8,ADJ,,,,,,,,,3,0.00,0.10,30.21,3,0.00,0.06,27.42
dormantes,9,ADJ,,,,,,,,,3,0.19,0.51,37.11,3,0.16,0.31,34.86
dorme,5,VER,2,0.00,1.21,40.83,1,0.00,0.36,35.59,1,0.00,0.02,22.40,4,0.26,0.57,37.55
dorment,7,VER,9,0.65,35.78,55.54,21,0.84,51.09,57.08,21,0.72,11.10,50.45,51,0.80,21.59,53.34
dormes,6,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
dormeur,7,NC,2,0.00,1.22,40.87,1,0.00,0.19,32.89,8,0.45,2.73,44.36,11,0.46,2.75,44.39
dormeur,7,ADJ,2,0.00,1.22,40.87,,,,,2,0.21,0.33,35.17,4,0.26,0.57,37.54
dormeurs,8,ADJ,,,,,,,,,2,0.21,0.36,35.51,1,0.00,0.01,19.94
dormeurs,8,NC,,,,,,,,,1,0.00,0.02,22.72,2,0.17,0.21,33.27
dormeuse,8,NC,,,,,1,0.00,0.29,34.61,,,,,1,0.00,0.01,19.90
dormez,6,VER,3,0.25,5.49,47.40,2,0.27,1.83,42.62,7,0.47,2.48,43.94,12,0.54,3.44,45.36
dormi,5,VER,2,0.27,3.83,45.84,6,0.61,11.03,50.43,18,0.66,8.83,49.46,26,0.69,9.46,49.76
dormiez,7,VER,,,,,,,,,2,0.21,0.33,35.22,2,0.17,0.20,33.01
dormions,8,VER,,,,,,,,,3,0.33,0.77,38.86,3,0.28,0.46,36.67
dormir,6,VER,24,0.73,104.63,60.20,65,0.85,160.18,62.05,159,0.94,107.66,60.32,248,0.91,118.01,60.72
dormira,7,VER,,,,,1,0.00,0.17,32.34,6,0.37,1.72,42.37,7,0.37,1.42,41.52
dormirai,8,VER,1,0.00,0.61,37.82,2,0.27,1.91,42.82,3,0.00,0.15,31.81,6,0.31,1.05,40.21
dormirait,9,VER,,,,,2,0.00,0.41,36.10,1,0.00,0.03,24.41,3,0.16,0.27,34.38
dormiras,8,VER,,,,,1,0.00,0.25,33.94,4,0.31,1.01,40.04,5,0.33,0.94,39.71
dormirez,8,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
dormirons,9,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
dormiront,9,VER,,,,,1,0.00,0.17,32.34,1,0.00,0.05,26.59,2,0.17,0.21,33.15
dormit,6,VER,,,,,1,0.00,0.34,35.35,3,0.33,0.76,38.83,4,0.35,0.76,38.82
dormons,7,VER,,,,,,,,,6,0.54,2.41,43.82,6,0.45,1.46,41.66
dorothée,8,NP,5,0.26,8.67,49.38,1,0.00,0.34,35.35,8,0.29,1.86,42.69,14,0.42,3.16,45.00
dors,4,VER,10,0.37,24.92,53.97,12,0.53,19.54,52.91,29,0.73,15.41,51.88,51,0.72,19.32,52.86
dors,4,NP,,,,,,,,,3,0.33,0.79,38.96,3,0.28,0.47,36.76
dorsal,6,ADJ,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
dorsale,7,ADJ,,,,,1,0.00,0.21,33.29,7,0.38,2.06,43.13,8,0.37,1.64,42.15
dorsale,7,NC,,,,,,,,,3,0.00,0.10,30.21,3,0.00,0.06,27.42
dorsales,8,ADJ,,,,,1,0.00,0.21,33.29,,,,,1,0.00,0.01,18.58
dort,4,VER,26,0.80,122.97,60.90,56,0.86,139.80,61.46,76,0.94,51.81,57.14,158,0.92,75.84,58.80
dortoir,7,NC,,,,,1,0.00,0.17,32.34,9,0.57,3.82,45.82,10,0.51,2.74,44.38
dorures,7,NC,1,0.00,0.52,37.18,,,,,,,,,1,0.00,0.00,16.29
dos,3,NC,71,0.87,362.61,65.59,97,0.96,266.23,64.25,307,0.96,212.56,63.27,475,0.95,236.62,63.74
dosage,6,NC,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
dosages,7,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
dosant,6,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
dos-d'âne,9,NC,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
dose,4,NC,1,0.00,0.37,35.74,,,,,5,0.40,1.54,41.89,6,0.39,1.29,41.09
doses,5,NC,,,,,,,,,2,0.00,0.07,28.57,2,0.00,0.04,25.79
dossard,7,NC,1,0.00,0.61,37.82,,,,,1,0.00,0.02,23.72,2,0.17,0.20,32.93
dossards,8,NC,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
dossier,7,NC,1,0.00,0.61,37.82,1,0.00,0.36,35.59,24,0.80,14.00,51.46,26,0.70,9.62,49.83
dossière,8,NC,,,,,,,,,1,0.00,0.01,20.71,1,0.00,0.01,17.92
dossiers,8,NC,,,,,1,0.00,0.19,32.89,3,0.33,0.79,38.96,4,0.35,0.77,38.86
dot,3,NC,,,,,,,,,3,0.19,0.53,37.26,3,0.16,0.32,34.99
dota,4,VER,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
doté,4,VER,,,,,,,,,4,0.17,0.62,37.89,4,0.14,0.37,35.63
dotée,5,VER,,,,,,,,,2,0.21,0.35,35.41,2,0.17,0.21,33.19
doter,5,VER,,,,,,,,,2,0.21,0.35,35.50,2,0.17,0.21,33.26
dotés,5,VER,,,,,,,,,5,0.48,1.82,42.60,5,0.40,1.10,40.43
douala,6,NP,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
douane,6,NC,,,,,,,,,12,0.48,4.27,46.31,12,0.40,2.59,44.14
douanes,7,NC,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
douanier,8,ADJ,,,,,,,,,2,0.21,0.34,35.28,1,0.00,0.01,19.71
douanier,8,NC,,,,,,,,,1,0.00,0.02,22.49,2,0.17,0.20,33.06
douaniers,9,NC,1,0.00,0.61,37.86,,,,,9,0.30,2.23,43.49,10,0.31,1.76,42.46
doublage,8,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
doublaient,10,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
doublant,8,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
double,6,ADJ,3,0.43,8.19,49.13,4,0.41,5.17,47.13,57,0.82,34.20,55.34,64,0.75,25.30,54.03
double,6,VER,1,0.00,0.62,37.95,2,0.27,1.89,42.77,16,0.70,8.24,49.16,9,0.42,2.04,43.11
double,6,NC,1,0.00,0.61,37.86,,,,,6,0.30,1.43,41.55,17,0.61,5.51,47.41
doublé,6,ADJ,,,,,1,0.00,0.22,33.41,3,0.33,0.77,38.85,2,0.17,0.21,33.22
doublé,6,VER,1,0.00,0.42,36.25,1,0.00,0.23,33.69,2,0.21,0.35,35.45,5,0.40,1.09,40.37
doublé,6,NC,,,,,,,,,1,0.00,0.05,27.04,2,0.17,0.21,33.22
doublée,7,ADJ,,,,,,,,,4,0.31,0.99,39.96,4,0.26,0.60,37.76
doublée,7,VER,,,,,,,,,2,0.21,0.37,35.66,2,0.17,0.22,33.42
doublées,8,VER,,,,,,,,,3,0.19,0.51,37.04,3,0.16,0.30,34.79
doublement,10,ADV,,,,,,,,,4,0.42,1.24,40.95,4,0.35,0.75,38.77
doublent,8,VER,1,0.00,0.61,37.82,,,,,4,0.42,1.29,41.10,5,0.40,1.11,40.44
doubler,7,VER,2,0.27,4.04,46.06,,,,,6,0.54,2.42,43.84,8,0.52,2.24,43.50
doublerai,9,VER,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
doublèrent,10,VER,,,,,1,0.00,0.19,32.89,,,,,1,0.00,0.01,18.18
doubles,7,ADJ,,,,,2,0.00,0.69,38.36,3,0.19,0.47,36.68,5,0.26,0.73,38.66
doublés,7,ADJ,,,,,1,0.00,0.34,35.35,1,0.00,0.05,26.59,1,0.00,0.01,20.64
doublés,7,VER,1,0.00,0.62,37.95,1,0.00,0.20,33.09,,,,,3,0.28,0.46,36.62
doublons,8,NC,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
doublure,8,NC,2,0.27,3.89,45.90,,,,,1,0.00,0.05,26.59,3,0.28,0.46,36.59
doublures,9,NC,,,,,1,0.00,0.20,33.08,5,0.15,0.72,38.57,6,0.22,0.78,38.89
doubs,5,NP,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
douce,5,ADJ,9,0.59,32.80,55.16,30,0.68,61.04,57.86,90,0.87,56.87,57.55,129,0.83,56.43,57.51
douce,5,NP,,,,,2,0.27,1.88,42.73,2,0.21,0.33,35.15,4,0.35,0.75,38.75
douceâtre,9,ADJ,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
doucement,9,ADV,34,0.79,160.05,62.04,77,0.89,196.32,62.93,205,0.93,137.77,61.39,316,0.91,151.52,61.80
doucereux,9,ADJ,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
douces,6,ADJ,1,0.00,0.52,37.18,7,0.50,10.95,50.39,19,0.84,11.60,50.65,27,0.76,10.79,50.33
doucette,8,ADJ,,,,,2,0.00,0.15,31.64,10,0.00,0.46,36.59,2,0.00,0.00,16.92
doucette,8,NC,,,,,,,,,,,,,10,0.00,0.24,33.81
doucettement,12,ADV,,,,,2,0.00,0.19,32.78,1,0.00,0.02,23.60,3,0.16,0.27,34.25
douceur,7,NC,1,0.00,0.52,37.18,7,0.45,9.57,49.81,54,0.87,34.05,55.32,62,0.77,25.31,54.03
douceurs,8,NC,1,0.00,0.52,37.18,,,,,1,0.00,0.02,23.94,2,0.17,0.20,32.93
douche,6,NC,13,0.58,46.70,56.69,12,0.66,23.74,53.75,37,0.70,19.02,52.79,62,0.75,24.51,53.89
douche,6,VER,3,0.43,8.25,49.16,1,0.00,0.36,35.59,4,0.31,0.96,39.84,8,0.48,2.04,43.09
douché,6,VER,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
douchées,8,VER,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
doucher,7,VER,1,0.00,0.61,37.82,2,0.27,1.94,42.87,3,0.19,0.45,36.57,6,0.39,1.26,41.00
doucherez,9,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
douches,7,NC,,,,,,,,,3,0.19,0.49,36.91,3,0.16,0.29,34.67
douchés,7,VER,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
doucheurs,9,NC,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
doudal,6,NP,,,,,,,,,14,0.00,0.33,35.18,14,0.00,0.17,32.40
doudou,6,NP,1,0.00,0.50,37.03,,,,,,,,,1,0.00,0.00,16.14
doudou-cochon,13,NP,1,0.00,0.50,37.03,,,,,,,,,1,0.00,0.00,16.14
doué,4,ADJ,,,,,3,0.25,2.64,44.22,16,0.65,7.69,48.86,19,0.59,6.01,47.79
douée,5,ADJ,,,,,,,,,4,0.31,1.00,39.99,4,0.26,0.60,37.79
douglas,7,NP,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
douille,7,NC,,,,,,,,,2,0.00,0.05,26.96,2,0.00,0.03,24.18
douilles,8,NC,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
douillet,8,ADJ,1,0.00,0.62,37.95,7,0.60,12.78,51.07,4,0.31,0.99,39.97,12,0.54,3.43,45.36
douillets,9,ADJ,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
douillette,10,ADJ,,,,,1,0.00,0.36,35.59,1,0.00,0.04,26.11,2,0.17,0.21,33.22
douillettement,14,ADV,,,,,1,0.00,0.25,33.94,1,0.00,0.03,25.43,2,0.17,0.20,33.10
douin,5,NP,,,,,,,,,15,0.00,0.44,36.45,15,0.00,0.23,33.66
douleur,7,NC,4,0.22,6.45,48.09,6,0.39,7.72,48.88,65,0.82,38.71,55.88,75,0.74,29.39,54.68
douleurs,8,NC,,,,,,,,,12,0.47,4.23,46.26,12,0.39,2.56,44.09
douloureuse,11,ADJ,,,,,,,,,3,0.33,0.78,38.94,3,0.28,0.47,36.74
douloureusement,15,ADV,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
douloureuses,12,ADJ,,,,,,,,,5,0.40,1.55,41.89,5,0.33,0.93,39.71
douloureux,10,ADJ,,,,,1,0.00,0.21,33.29,5,0.48,1.83,42.63,6,0.45,1.47,41.66
douroff,7,NP,,,,,,,,,2,0.00,0.05,27.36,2,0.00,0.03,24.58
douta,5,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
doutai,6,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
doutaient,9,VER,,,,,1,0.00,0.25,33.94,1,0.00,0.02,22.39,2,0.17,0.20,32.93
doutais,7,VER,,,,,2,0.27,1.95,42.89,2,0.00,0.05,26.96,4,0.26,0.58,37.63
doutait,7,VER,,,,,,,,,11,0.55,4.53,46.56,11,0.46,2.75,44.40
doutât,6,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
doute,5,NC,9,0.57,31.85,55.03,25,0.83,60.42,57.81,188,0.92,125.13,60.97,222,0.86,99.88,59.99
doute,5,VER,2,0.27,3.89,45.89,1,0.00,0.29,34.61,24,0.68,12.10,50.83,27,0.63,9.02,49.55
douté,5,VER,,,,,,,,,2,0.21,0.34,35.26,2,0.17,0.20,33.05
doutent,7,VER,,,,,1,0.00,0.09,29.77,2,0.21,0.32,35.09,3,0.28,0.45,36.49
douter,6,VER,3,0.43,8.30,49.19,2,0.27,1.91,42.81,26,0.78,14.75,51.69,31,0.72,11.82,50.72
doutera,7,VER,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
doutes,6,NC,,,,,,,,,5,0.48,1.83,42.63,5,0.40,1.11,40.46
douteuse,8,ADJ,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
douteux,7,ADJ,,,,,,,,,6,0.54,2.41,43.82,6,0.45,1.46,41.65
doutez,6,VER,,,,,,,,,3,0.33,0.80,39.01,3,0.28,0.48,36.81
doutons,7,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
douves,6,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
douvres,7,NP,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
doux,4,ADJ,15,0.79,70.22,58.46,53,0.91,138.91,61.43,127,0.92,84.49,59.27,195,0.91,92.81,59.68
doux,4,ADV,2,0.27,3.87,45.87,4,0.54,6.60,48.20,25,0.66,12.05,50.81,31,0.65,10.72,50.30
douzaine,8,NC,6,0.52,19.33,52.86,8,0.47,11.45,50.59,28,0.57,11.94,50.77,42,0.64,14.29,51.55
douzaines,9,NC,2,0.27,3.83,45.83,,,,,9,0.50,3.38,45.29,11,0.49,2.91,44.64
douze,5,ADJ,15,0.83,73.08,58.64,22,0.89,56.41,57.51,90,0.90,58.96,57.71,127,0.90,59.88,57.77
douzième,8,ADJ,,,,,1,0.00,0.20,33.09,5,0.48,1.81,42.58,6,0.45,1.45,41.63
douzième,8,NC,2,0.00,0.84,39.26,,,,,,,,,2,0.00,0.01,18.37
doyen,5,NC,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
dr,2,NP,,,,,,,,,4,0.42,1.28,41.07,4,0.35,0.77,38.89
dracula,7,NP,,,,,,,,,6,0.00,0.09,29.44,6,0.00,0.05,26.66
dragage,7,NC,,,,,1,0.00,0.21,33.29,,,,,1,0.00,0.01,18.58
dragée,6,NC,2,0.27,3.79,45.79,,,,,3,0.33,0.77,38.89,5,0.40,1.09,40.37
dragées,7,NC,1,0.00,0.50,37.03,2,0.27,1.95,42.91,4,0.31,0.99,39.95,7,0.44,1.66,42.19
dragon,6,NC,10,0.50,31.32,54.96,78,0.44,106.70,60.28,87,0.58,37.39,55.73,175,0.61,56.06,57.49
dragon-fou,10,NP,,,,,8,0.00,1.87,42.72,,,,,8,0.00,0.06,28.01
dragons,7,NC,3,0.00,1.51,41.80,7,0.60,12.75,51.05,15,0.50,5.65,47.52,25,0.59,7.85,48.95
dragues,7,NC,,,,,1,0.00,0.21,33.29,,,,,1,0.00,0.01,18.58
draguignan,10,NP,,,,,1,0.00,0.22,33.41,,,,,1,0.00,0.01,18.70
drainage,8,NC,,,,,,,,,1,0.00,0.02,23.94,1,0.00,0.01,21.16
drais,5,NP,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
draisienne,10,NC,,,,,,,,,6,0.19,0.92,39.66,6,0.16,0.56,37.44
drakkar,7,NC,,,,,,,,,7,0.18,1.02,40.08,7,0.15,0.61,37.86
drakkars,8,NC,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
dramatique,10,NC,,,,,1,0.00,0.23,33.69,12,0.63,5.59,47.47,4,0.35,0.77,38.84
dramatique,10,ADJ,,,,,,,,,3,0.33,0.78,38.90,12,0.53,3.40,45.31
dramatiques,11,ADJ,,,,,,,,,1,0.00,0.02,23.72,1,0.00,0.01,20.94
dramatiser,10,VER,,,,,,,,,2,0.21,0.34,35.26,2,0.17,0.20,33.05
drame,5,NC,,,,,5,0.37,5.91,47.71,21,0.71,10.93,50.39,26,0.65,8.94,49.51
drames,6,NC,,,,,,,,,5,0.40,1.56,41.92,5,0.33,0.94,39.74
drap,4,NC,10,0.74,44.10,56.44,12,0.66,23.54,53.72,46,0.68,22.93,53.60,68,0.74,26.63,54.25
drapé,5,ADJ,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
drapeau,7,NC,14,0.64,53.95,57.32,9,0.68,18.11,52.58,41,0.72,21.64,53.35,64,0.76,25.67,54.09
drapeaux,8,NC,3,0.43,8.40,49.24,3,0.43,4.03,46.05,11,0.59,4.82,46.83,17,0.64,5.78,47.62
drapée,6,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
draperie,8,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
drapés,6,ADJ,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
draps,5,NC,7,0.60,25.93,54.14,11,0.79,25.27,54.03,31,0.60,13.83,51.41,49,0.71,18.49,52.67
dressa,6,VER,,,,,1,0.00,0.34,35.35,35,0.83,21.15,53.25,36,0.71,13.48,51.30
dressage,8,NC,,,,,,,,,8,0.50,2.99,44.76,8,0.42,1.82,42.59
dressai,7,VER,,,,,,,,,3,0.00,0.15,31.81,3,0.00,0.08,29.03
dressaient,10,VER,,,,,4,0.22,2.97,44.73,4,0.31,1.02,40.07,8,0.37,1.64,42.14
