FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
tropicaux,9,ADJ,,,,,,,,,3,0.19,0.47,36.71,3,0.16,0.28,34.49
tropiques,9,NC,,,,,1,0.00,0.36,35.59,2,0.21,0.35,35.45,3,0.28,0.47,36.68
troqua,6,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
troquait,8,VER,,,,,,,,,2,0.00,0.09,29.55,2,0.00,0.05,26.77
troquer,7,VER,,,,,1,0.00,0.19,32.89,1,0.00,0.03,25.43,2,0.17,0.20,33.07
trot,4,NC,,,,,11,0.23,9.25,49.66,21,0.57,8.93,49.51,32,0.53,9.02,49.55
trott,5,NP,,,,,15,0.00,2.57,44.10,31,0.10,2.95,44.70,46,0.21,5.55,47.44
trottai,7,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
trottaient,10,VER,,,,,1,0.00,0.25,33.94,1,0.00,0.02,23.60,2,0.17,0.20,32.98
trottais,8,VER,,,,,,,,,1,0.00,0.02,22.40,1,0.00,0.01,19.62
trottait,8,VER,,,,,1,0.00,0.21,33.29,5,0.32,1.23,40.91,6,0.33,1.10,40.41
trottant,8,VER,,,,,,,,,4,0.17,0.57,37.54,4,0.14,0.34,35.31
trotte,6,VER,36,0.39,88.64,59.48,15,0.41,19.85,52.98,11,0.53,4.35,46.39,62,0.53,17.40,52.41
trotté,6,VER,,,,,,,,,6,0.19,0.96,39.84,6,0.16,0.58,37.61
trotter,7,VER,1,0.00,0.50,37.03,4,0.54,6.49,48.12,12,0.61,5.37,47.30,17,0.63,5.66,47.53
trotteur,8,NC,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
trotteuse,9,NC,,,,,,,,,3,0.19,0.45,36.56,3,0.16,0.27,34.35
trottinaient,12,VER,,,,,,,,,2,0.00,0.10,30.05,2,0.00,0.05,27.27
trottinait,10,VER,1,0.00,0.52,37.18,,,,,3,0.33,0.79,38.97,4,0.35,0.77,38.86
trottinant,10,VER,,,,,2,0.27,1.82,42.60,5,0.48,1.83,42.62,7,0.49,1.84,42.65
trottine,8,VER,3,0.25,5.18,47.14,1,0.00,0.36,35.59,1,0.00,0.02,22.07,5,0.33,0.89,39.51
trottinement,12,NC,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
trottinent,10,VER,,,,,,,,,3,0.19,0.52,37.19,3,0.16,0.31,34.93
trottiner,9,VER,,,,,,,,,3,0.33,0.77,38.85,3,0.28,0.46,36.66
trottineront,12,VER,1,0.00,0.37,35.74,,,,,,,,,1,0.00,0.00,14.84
trottoir,8,NC,15,0.86,75.95,58.81,28,0.77,62.33,57.95,65,0.83,39.03,55.91,108,0.85,48.40,56.85
trottoirs,9,NC,1,0.00,0.43,36.31,8,0.58,14.12,51.50,9,0.61,4.09,46.12,18,0.64,6.11,47.86
trou,4,NC,38,0.88,195.23,62.91,53,0.90,136.73,61.36,204,0.91,134.33,61.28,295,0.91,140.74,61.48
trouait,7,VER,,,,,,,,,2,0.00,0.03,25.41,2,0.00,0.02,22.63
troubadours,11,NC,,,,,,,,,1,0.00,0.02,23.95,1,0.00,0.01,21.17
troubla,7,VER,,,,,,,,,4,0.31,0.98,39.90,4,0.26,0.59,37.71
troublaient,11,VER,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
troublait,9,VER,,,,,,,,,5,0.40,1.53,41.86,5,0.33,0.93,39.68
troublant,9,ADJ,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
troublant,9,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
troublante,10,ADJ,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
